日付け,終値
2017.7.14,1625.48
2017.7.18,1620.48
2017.7.19,1621.87
2017.7.20,1633.01
2017.7.21,1629.99
2017.7.24,1621.57
2017.7.25,1617.07
2017.7.26,1620.88
2017.7.27,1626.84
2017.7.28,1621.22
2017.7.31,1618.61
2017.8.1,1628.50
2017.8.2,1634.38
2017.8.3,1633.82
2017.8.4,1631.45
2017.8.7,1639.27
2017.8.8,1635.32
2017.8.9,1617.90
2017.8.10,1617.25
2017.8.14,1599.06
2017.8.15,1616.21
2017.8.16,1616.00
2017.8.17,1614.82
2017.8.18,1597.36
2017.8.21,1595.19
2017.8.22,1596.12
2017.8.23,1600.05
2017.8.24,1592.20
2017.8.25,1596.99
2017.8.28,1600.12
2017.8.29,1597.76
2017.8.30,1607.65
2017.8.31,1617.41
2017.9.1,1619.59
2017.9.4,1603.55
2017.9.5,1590.71
2017.9.6,1592.00
2017.9.7,1598.24
2017.9.8,1593.54
2017.9.11,1612.26
2017.9.12,1627.45
2017.9.13,1637.33
2017.9.14,1632.13
2017.9.15,1638.94
2017.9.19,1667.88
2017.9.20,1667.92
2017.9.21,1668.74
2017.9.22,1664.61
2017.9.25,1672.82
2017.9.26,1672.74
2017.9.27,1664.43
2017.9.28,1676.17
2017.9.29,1674.75
2017.10.2,1673.62
2017.10.3,1684.46
2017.10.4,1684.56
2017.10.5,1682.49
2017.10.6,1687.16
2017.10.10,1695.14
2017.10.11,1696.81
2017.10.12,1700.13
2017.10.13,1708.62
2017.10.16,1719.18
2017.10.17,1723.37
2017.10.18,1724.64
2017.10.19,1730.04
2017.10.20,1730.64
2017.10.23,1745.25
2017.10.24,1756.92
2017.10.25,1751.43
2017.10.26,1753.90
2017.10.27,1771.05
2017.10.30,1770.84
2017.10.31,1765.96
2017.11.1,1786.71
2017.11.2,1794.08
2017.11.6,1792.66
2017.11.7,1813.29
2017.11.8,1817.60
2017.11.9,1813.11
2017.11.10,1800.44
2017.11.13,1783.49
2017.11.14,1778.87
2017.11.15,1744.01
2017.11.16,1761.71
2017.11.17,1763.76
2017.11.20,1759.65
2017.11.21,1771.13
2017.11.22,1777.08
2017.11.24,1780.56
2017.11.27,1776.73
2017.11.28,1772.07
2017.11.29,1786.15
2017.11.30,1792.08
2017.12.1,1796.53
2017.12.4,1786.87
2017.12.5,1790.97
2017.12.6,1765.42
2017.12.7,1786.25
2017.12.8,1803.73
2017.12.11,1813.34
2017.12.12,1815.08
2017.12.13,1810.84
2017.12.14,1808.14
2017.12.15,1793.47
2017.12.18,1817.90
2017.12.19,1815.18
2017.12.20,1821.16
2017.12.21,1822.61
2017.12.22,1829.08
2017.12.25,1831.93
2017.12.26,1827.01
2017.12.27,1829.79
2017.12.28,1819.03
2017.12.29,1817.56
2018.1.4,1863.82
2018.1.5,1880.34
2018.1.9,1889.29
2018.1.10,1892.11
2018.1.11,1888.09
2018.1.12,1876.24
2018.1.15,1883.90
2018.1.16,1894.25
2018.1.17,1890.82
2018.1.18,1876.86
2018.1.19,1889.74
2018.1.22,1891.92
2018.1.23,1911.07
2018.1.24,1901.23
2018.1.25,1884.56
2018.1.26,1879.39
2018.1.29,1880.45
2018.1.30,1858.13
2018.1.31,1836.71
2018.2.1,1870.44
2018.2.2,1864.20
2018.2.5,1823.74
2018.2.6,1743.41
2018.2.7,1749.91
2018.2.8,1765.69
2018.2.9,1731.97
2018.2.13,1716.78
2018.2.14,1702.72
2018.2.15,1719.27
2018.2.16,1737.37
2018.2.19,1775.15
2018.2.20,1762.45
2018.2.21,1761.61
2018.2.22,1746.17
2018.2.23,1760.53
2018.2.26,1774.81
2018.2.27,1790.34
2018.2.28,1768.24
2018.3.1,1740.20
2018.3.2,1708.34
2018.3.5,1694.79
2018.3.6,1716.30
2018.3.7,1703.96
2018.3.8,1709.95
2018.3.9,1715.48
2018.3.12,1741.30
2018.3.13,1751.03
2018.3.14,1743.21
2018.3.15,1743.60
2018.3.16,1736.63
2018.3.19,1719.97
2018.3.20,1716.29
2018.3.22,1727.39
2018.3.23,1664.94
2018.3.26,1671.32
2018.3.27,1717.13
2018.3.28,1699.56
2018.3.29,1704.00
2018.3.30,1716.30
2018.4.2,1708.78
2018.4.3,1703.80
2018.4.4,1706.13
2018.4.5,1724.61
2018.4.6,1719.30
2018.4.9,1725.88
2018.4.10,1731.94
2018.4.11,1725.30
2018.4.12,1718.52
2018.4.13,1729.36
2018.4.16,1736.22
