日付け,終値
2018.11.15,44250
2018.11.16,44000
2018.11.19,43650
2018.11.20,42800
2018.11.21,42100
2018.11.22,42450
2018.11.23,42400
2018.11.26,42600
2018.11.27,43050
2018.11.28,43150
2018.11.29,43150
2018.11.30,41850
2018.12.3,43250
2018.12.4,42150
2018.12.5,41450
2018.12.6,40500
2018.12.7,40950
2018.12.10,40200
2018.12.11,40250
2018.12.12,40450
2018.12.13,40000
2018.12.14,38950
2018.12.17,39150
2018.12.18,38900
2018.12.19,39100
2018.12.20,38650
2018.12.21,38650
2018.12.24,38800
2018.12.26,38350
2018.12.27,38250
2018.12.28,38700
2019.1.2,38750
2019.1.3,37600
2019.1.4,37450
2019.1.7,38750
2019.1.8,38100
2019.1.9,39600
2019.1.10,39800
2019.1.11,40500
2019.1.14,40050
2019.1.15,41100
2019.1.16,41450
2019.1.17,41950
2019.1.18,42300
2019.1.21,42750
2019.1.22,42150
2019.1.23,42000
2019.1.24,43050
2019.1.25,44750
2019.1.28,45050
2019.1.29,45500
2019.1.30,46400
2019.1.31,46150
2019.2.1,46350
2019.2.7,46200
2019.2.8,44800
2019.2.11,45000
2019.2.12,46050
2019.2.13,46200
2019.2.14,47500
2019.2.15,46050
2019.2.18,46200
2019.2.19,45950
2019.2.20,46900
2019.2.21,46950
2019.2.22,47150
2019.2.25,47350
2019.2.26,46750
2019.2.27,46750
2019.2.28,45100
2019.3.4,44850
2019.3.5,44250
2019.3.6,44000
2019.3.7,44450
2019.3.8,43800
2019.3.11,43650
2019.3.12,44650
2019.3.13,43850
2019.3.14,43850
2019.3.15,44200
2019.3.18,43700
2019.3.19,43900
2019.3.20,44050
2019.3.21,45850
2019.3.22,46550
2019.3.25,45500
2019.3.26,45250
2019.3.27,45350
2019.3.28,44850
2019.3.29,44650
2019.4.1,45050
2019.4.2,45750
